internship_title,company_name,location,start_date,duration,stipend,Skills,Interests
Program Operations,Bharti Foundation,Gurgaon,Immediately,4 Months,"₹ 17,500 /month",C++,Web 3.0
Volunteering,International Human Rights Protection Commission,Andhra Pradesh,Immediately,4 Months,Unpaid,Java,Web 3.0
Social Entrepreneurship,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,Java,Augmented Reality
HR,Gupshup Technology,Mumbai,Immediately,4 Months,"₹ 10,000 /month",Embedded Systems,Robotics
Graphic Design,Bajaj Finance Limited,Pune,Immediately,4 Months,"₹ 5,000-15,000 /month",Cybersecurity,Robotics
Graphic And Content,Hero Vired,Delhi,Immediately,4 Months,"₹ 20,000 /month",Web Development,IoT
DEI Consulting,Godrej Agrovet Limited,Mumbai,Immediately,4 Months,"₹ 10,000-15,000 /month",Data Analysis,Data Science
Fundraising,WWF India,Delhi,Immediately,4 Months,"₹ 18,000 /month",Machine Learning,Cybersecurity
Angular UI Development & UI Design,IIT Bombay,Work From Home,Immediately,4 Months,"₹ 1,000-2,000 /month",C++,Robotics
Teaching GPAT And Pharmacy Exams,Unacademy,Work From Home,Immediately,4 Months,"₹ 20,000 /month",UI/UX Design,Open Source
Business Operations And Research,Benesse India,Delhi,Immediately,4 Months,"₹ 25,000 /month",Networking,Web 3.0
Business Development & Brand Solution,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,4 Months,"₹ 5,000 /month",Data Analysis,Open Source
Supply Chain & Logistics Operations,Inland World Logistics Private Limited,Coimbatore,Immediately,4 Months,"₹ 10,000 /month",Python,Data Science
Content Writing,HT Media,Mumbai,Immediately,4 Months,"₹ 3,500-5,000 /month",UI/UX Design,Game Development
Motion Design,NoBroker,Bangalore,Immediately,4 Months,"₹ 12,000 /month",C++,AI
Sales Trainee,Pioneer E-Solutions,Gurgaon,Immediately,4 Months,"₹ 10,000 /month",Cybersecurity,Cybersecurity
Retail Management,Decathlon Sports India,Patna,Immediately,4 Months,"₹ 7,000 /month",Web Development,Space Tech
Operation Analyst,Apollo247,Gurgaon,Immediately,4 Months,"₹ 15,000 /month",Cloud Computing,Web 3.0
Omni Sports Leadership,Decathlon Sport India Private Limited,Ludhiana,Immediately,4 Months,"₹ 10,000 /month",Networking,Robotics
HR Operations,UpGrad (U Education Management Private Limited),Gurgaon,Immediately,4 Months,"₹ 10,000 /month",Cloud Computing,Blockchain
Human Resources (HR),Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month",Cybersecurity,Data Science
Omni Sports Leading,Decathlon Sport India Private Limited,Mumbai,Immediately,6 Months,"₹ 13,000 /month",Java,Cybersecurity
IT Coordination,Vaibhav Global Limited,Jaipur,Immediately,6 Months,"₹ 10,000 /month",Machine Learning,Quantum Computing
Admin,Worldwide Media (Times Group),Mumbai,Immediately,6 Months,"₹ 5,000 /month",Python,AI
Graphic Design,Priyanka Singh,Jaipur,Immediately,6 Months,"₹ 5,000 /month +  Incentives",Networking,Open Source
Software Development – Vāgyojaka Tool,IIT Bombay,Work From Home,Immediately,6 Months,"₹ 3,000-5,000 /month",Database Management,Space Tech
Product Management,Tynor Orthotics Private Limited,Mohali,Immediately,6 Months,"₹ 7,500 /month",Cloud Computing,Open Source
Omni Sport Leader,Decathlon Sports India,Pimpri-Chinchwad,Immediately,6 Months,"₹ 10,000 /month",Web Development,Blockchain
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Nagpur,Immediately,6 Months,"₹ 2,500-9,500 /month",C++,IoT
Graphic Design,Futurionic Private Limited,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Networking,Augmented Reality
Business Development (Sales),Cultfit Healthcare Private Limited,Bangalore,Immediately,6 Months,"₹ 20,000 /month",Embedded Systems,IoT
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,Database Management,Blockchain
Youtube Management,Unacademy,Bangalore,Immediately,6 Months,"₹ 15,000 /month",Database Management,Blockchain
Marketing,Absolute Barbecue Private Limited,Hyderabad,Immediately,6 Months,"₹ 6,000 /month",Machine Learning,AI
Event Management,Office Of Advisor To CM,Delhi,Immediately,6 Months,Unpaid,Web Development,Quantum Computing
Customer Service,Kalpataru Limited,Mumbai,Immediately,6 Months,"₹ 10,000 /month",Database Management,Augmented Reality
Marketing,Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month",Data Analysis,Augmented Reality
Public Relations,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 1,500 /month",Cybersecurity,Quantum Computing
Talent Acquisition,MRCC Solutions,Thane,Immediately,6 Months,"₹ 10,000 /month",Database Management,Augmented Reality
Human Resources (HR),Zucol Group Of Companies,Indore,Immediately,6 Months,"₹ 5,000 /month",Networking,Game Development
Sales (Real Estate),Anarock Property Consultant Private Limited,Pune,Immediately,6 Months,"₹ 10,000 /month",C++,AI
Customer Experience,Snapdeal,Gurgaon,Immediately,6 Months,"₹ 10,000 /month",Java,Blockchain
Insurance Consulting,Bajaj Allianz Life Insurance Company Limited,Work From Home,Immediately,6 Months,"₹ 12,000 /month +  Incentives",Python,Blockchain
Resource Management,Techolution,Hyderabad,Immediately,6 Months,"₹ 15,000 /month",C++,Augmented Reality
Curriculum Development,Educate Girls,Mumbai,Immediately,6 Months,"₹ 15,000-17,000 /month",Embedded Systems,AI
Digital Marketing,Audi Mumbai West,Mumbai,Immediately,6 Months,"₹ 15,000 /month",UI/UX Design,Cybersecurity
Social Work,INDIA Redefined,Work From Home,Immediately,6 Months,Unpaid,Networking,Augmented Reality
Lead HR (Admin),Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,Web Development,Cybersecurity
HR,WWF India,Delhi,Immediately,6 Months,"₹ 5,000-10,000 /month",Python,Blockchain
Content Creation & Ideation,Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,Machine Learning,IoT
Operations,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Work From Home,Immediately,6 Months,"₹ 5,000 /month",Cloud Computing,Robotics
Technical Finance,Thomas Cook,Mumbai,Immediately,6 Months,"₹ 6,000 /month",UI/UX Design,Open Source
Campus Ambassador,Unacademy,Work From Home,Immediately,6 Months,Performance Based,C++,Space Tech
Media And Social Media Management,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,Python,IoT
Digital Media Monitoring/Content Analytics,Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,Machine Learning,Cybersecurity
Human Resources (HR),Alkegen India Private Limited,Pune,Immediately,6 Months,"₹ 3,000 /month",Embedded Systems,Open Source
Digital And Cartoon Artist,Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,Machine Learning,Space Tech
Content Marketing,IIT Bombay,Work From Home,Immediately,6 Months,"₹ 1,000-2,000 /month",Web Development,Open Source
Social Media Research/Scouting,Aam Aadmi Party,Work From Home,Immediately,6 Months,Unpaid,Cloud Computing,Open Source
Human Resources (HR),Ambit Private Limited,Mumbai,Immediately,6 Months,"₹ 20,000 /month",Machine Learning,IoT
Business Development (Sales),MakeMyTrip,Gurgaon,Immediately,3 Months,"₹ 10,000 /month",Data Analysis,Game Development
Video Making/Editing,Aam Aadmi Party,Work From Home,Immediately,3 Months,Unpaid,Cloud Computing,Cybersecurity
Social Work,INDIA Redefined,Work From Home,Immediately,3 Months,Unpaid,Web Development,IoT
YouTube Marketing,Saregama India Limited,Chennai,Immediately,3 Months,"₹ 5,000-10,000 /month",Networking,Data Science
Marketing,Cuberoutes,Chennai,Immediately,3 Months,"₹ 12,000 /month +  Incentives",Database Management,AI
Marketing (Sunburn),BookMyShow,Mumbai,Immediately,3 Months,"₹ 7,500 /month",Cloud Computing,Data Science
Content Developement (DIY Videos),K4 Media & Technologies,Jaipur,Immediately,3 Months,"₹ 10,000 /month",Embedded Systems,Game Development
US Sales Process (Female),Gigde Global Solutions Private Limited,Noida,Immediately,3 Months,"₹ 15,000 /month",Python,Web 3.0
Chartered Accountancy (CA),H S SABHARWAL & Co,Dehradun,Immediately,3 Months,"₹ 3,000-5,000 /month",Cybersecurity,Quantum Computing
Content Writing (Education),K4 Media & Technologies,Jaipur,Immediately,3 Months,"₹ 10,000 /month",Python,Game Development
Computer Operations,K4 Media & Technologies,Jaipur,Immediately,3 Months,"₹ 10,000 /month",Embedded Systems,IoT
Marketing,MAG Finserv,Pune,Immediately,3 Months,"₹ 10,000 /month",C++,Web 3.0
Graphic Design,Trivy Technologies Private Limited,Work From Home,Immediately,3 Months,"₹ 2,500 /month",Web Development,Open Source
Project Management,HappiMynd,Work From Home,Immediately,3 Months,"₹ 10,000-15,000 /month",Machine Learning,Robotics
Creative Design,Soyu,Hyderabad,Immediately,3 Months,"₹ 5,000 /month",Java,Blockchain
Subject Matter Expert (Mathematics) - Doubt Solving,LearnAsYouGo Private Limited,Work From Home,Immediately,3 Months,"₹ 6,000-12,000 /month",Database Management,Cybersecurity
Content Writing (Art & Craft),K4 Media & Technologies,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Machine Learning,Quantum Computing
Content Writing (Fashion & Lifestyle),K4 Media & Technologies,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Cybersecurity,Data Science
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,3 Months,10% of Revenue Generated,Data Analysis,Data Science
Web Development,Celebrare,Work From Home,Immediately,3 Months,"₹ 6,000-12,000 /month",Java,Cybersecurity
Web Content Development,Hex Wireless Private Limited,Work From Home,Immediately,3 Months,"₹ 12,000 /month",Machine Learning,IoT
Video Editing,K4 Media & Technologies,Jaipur,Immediately,3 Months,"₹ 10,000 /month",Cloud Computing,IoT
UI/UX Design,QuadB Tech,Ludhiana,Immediately,3 Months,"₹ 15,000-25,000 /month",Python,Web 3.0
